Base nr,Average PHRED value
0,32.80091692470176
1,33.10493427106086
2,33.178464271140875
3,36.507308994023184
4,36.446876775241435
5,36.382163974300504
6,36.36064904827057
7,36.3953177632158
8,38.23692022115008
9,38.26355584359473
10,38.214533176512006
11,38.21273293167871
12,38.21898178152229
13,39.78797916516646
14,39.829976876855255
15,39.77724970596001
16,39.80608562764536
17,39.7371162478097
18,39.75135018362497
19,39.698310970291956
20,39.668978981141436
21,39.60290599521535
22,39.4816014978037
23,39.50982933678981
24,39.49317107126569
25,39.43533120504389
26,39.38759671315299
27,39.31414672395446
28,39.22417448773033
29,39.21944584463487
30,39.3046334301465
31,38.7975724698559
32,38.87593512717729
33,38.87707928278246
34,38.83114503572486
35,38.849499531936345
36,38.80290919565061
37,38.7355320323564
38,38.71233687781538
39,38.66943504316587
40,38.40454301785043
41,38.31877935399214
42,38.17591192402167
43,38.14500372050599
44,38.117768016450235
45,37.93372698687021
46,37.87355080290919
47,37.570197546866375
48,37.25141819287423
49,37.452757575030205
50,37.310906283254525
51,37.16299016666267
52,36.99210292599793
53,36.743877167294755
54,36.50856516486242
55,36.5390733139707
56,36.43475512669723
57,36.29063952697567
58,36.08489154525015
59,35.92051719033788
60,35.75921525327445
61,35.55660369810294
62,35.373898850243634
63,35.244609266860294
64,34.96729955273917
65,34.75851915860557
66,34.62157253386461
67,34.43170671211285
68,34.320435579238776
69,34.017994447244824
70,33.9827096485122
71,33.790003440467906
72,33.68538921293296
73,33.55565956970148
74,33.3738268404503
75,30.916572653880927
76,32.20196346703152
77,32.72879511613579
78,32.864165526511606
79,32.87174255698775
80,32.77360120976453
81,32.62656521286895
82,32.55967611595177
83,32.499563940695936
84,32.351503804517414
85,32.29612827344519
86,32.17668802957202
87,32.04715041245609
88,32.014401958666376
89,31.982133570165544
90,31.897130009681316
91,31.758503156429274
92,31.706608098701423
93,31.597345238952496
94,31.565780946208683
95,31.447036797004394
96,31.279189969835898
97,31.146723954457805
98,30.886920621204485
99,30.82565628925534
100,29.063208596369105
